objectid,filename,title,creator,date,description,subject,source,type,format,language,rights,author,year,tag_narrativo,tag_gestual,proxemia,time_inicio,time_final
coll011,011.jpg,encuentro,Violencia,Madre,hombre se esconde y llega la madre a la cocina. La madre la amenaza con matarla por no obedecer.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un acto de violencia física o verbal. Puede presentarse bajo una relación de poder, una madre y una hija, un rico y un pobre, un hombre o una mujer. También puede presentarse para demostrar un acto de masculinidad, de honor o defensa.",Samuel Velasquez,1924,enojo,enojo,cercanos,00:14:51,00:16:25
coll012,012.jpg,trabajo,Trabajo,Madre,hombres trabajan con animales de carga.,Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,"El trabajo manual y de fuerza suele ser desempeñado por hombres no enriquecidos. Suelen tener un patrón o una figuta de autoridad que los vigila. Sus movimientos son bruscos y demuestran fuerza, también suelen tener contacto con la tierra o con animales grandes. Suelen usarse como imágenes de transición o demostración de un oficio o trabajo, pero no como algo que cambie la trama o sea significativo, más bien son escenas de transición.",Samuel Velasquez,1924,fuerza,fuerza,distanciamedia,00:16:26,00:20:03
coll013,013.jpg,reencuentro,Amor,Aura o las violetas,llegan dos hombres con flores y regalos para las mujeres de la familia,Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado para demostrar gestos de amor entre parejas mayoritariamente, pero también puede evidenciarse entre familias. Aunque existen relaciones de poder, se muestra como una relación de pares en la que predomina el amor. Los gestos pueden ser materiales como regalos o inmateriales como besos o caricias.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,felicidad,feliz,cercanos,00:00:31,00:01:21
coll014,014.jpg,violetas,Introspección,Aura o las violetas,hombre viendo desde una planta al horizonte,none,Proimágenes,Image;StillImage,image/jpeg,es,"La introspección como discurso es usado sobre los personajes principales para demostrar su capacidad apreciativa, racional o contemplativa de algún fenómeno o problemática. Se suele desarrollar sobre personajes que tengan importancia sobre la trama, especialmente hombres o mujeres adinerados o con algún estatus social.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,reflexion,alerta,none,00:01:22,00:01:49
coll015,015.jpg,espejo,none,Aura o las violetas,hombre se ve al espejo y casi no se reconoce,none,Proimágenes,Image;StillImage,image/jpeg,es,none,Pedro Moreno Garzon y Vicenzo di Domenico,1924,sorpresa,sorpresa,none,00:01:50,00:02:33
coll016,016.jpg,cochero,none,Aura o las violetas,hombre va a buscar a cochero que se asusta mucho al verlo.,Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,none,Pedro Moreno Garzon y Vicenzo di Domenico,1924,sopresa,sorpresa,distanciamedia,00:02:34,00:03:44
coll017,017.jpg,preparacion_boda,Solidaridad/apoyo,Aura o las violetas,mujeres comparten y arreglan a la novia en sus preparativos para la boda.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"El apoyo o la solidaridad puede presentarse entre hombres o entre mujeres mayoritariamente. Suele representarse a través de consejos, compañía para realizar acciones o complicidades. En este discurso no suele haber una relación de poder que interceda, es decir, los personajes son pares.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,tristeza,tristeza,cercanos,00:03:45,00:04:49
coll018,018.jpg,transito,Modernidad,Aura o las violetas,hombre sube a auto,Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado sobre representaciones que aluden mayoritariamente a la experiencia urbana de los personajes. Es decir, se concentra en cómo los personajes se desarrollan con simbolos o elementos que demuestran un desarrollo económico, social y político de caracter moderno. Estos pueden presentarse en modales, objetos como los autos, la ropa, instituciones o profesiones.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,expectativa,none,distanciamedia,00:04:50,00:05:27
coll019,019.jpg,abatido,Cuidado,Aura o las violetas,mujer y niña llevan a hombre sobre una cama. Él está abatido.,Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Las labores de cuidado son ejercidas por mujeres que se encargan de realizar acciones enfocadas a suplir necesidades básicas como la comida, la enfermedad o el cuidado de los hijos.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,dolor,abatido,cercanos,00:05:28,00:06:02
coll020,020.jpg,desesperacion,Cuidado,Aura o las violetas,"hombre tiene sueños y recuerdos de su amada. Hombre reza, toma un arma y la apunta a su cabeza. La madre ve la situación y le pide no hacerlo. Lo abraza y besa y luego se desmalla.",Padre/hija,Proimágenes,Image;StillImage,image/jpeg,es,"Las labores de cuidado son ejercidas por mujeres que se encargan de realizar acciones enfocadas a suplir necesidades básicas como la comida, la enfermedad o el cuidado de los hijos.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,dolor,depresion,cercanos,00:06:03,00:07:32
coll021,021.jpg,teatro,Modernidad,Aura o las violetas,"carruaje se moviliza por una calle principal en la que hay muchos niños pasando, corriendo alrededor del carruaje que es impulsado por caballo. El hombre entra a teatro y se sienta con otros hombres de traje muy blancos. Usa binoculares y ve a su amada con su esposo. A su vez, la amada se sienta en un palco con el esposo. La mujer lleva un collar de perlas, también binoculares con los que ve a al hombre. La obra teatra inicia. Los casados se van del lugar, la mujer se pone su abrigo blanco y se va.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado sobre representaciones que aluden mayoritariamente a la experiencia urbana de los personajes. Es decir, se concentra en cómo los personajes se desarrollan con simbolos o elementos que demuestran un desarrollo económico, social y político de caracter moderno. Estos pueden presentarse en modales, objetos como los autos, la ropa, instituciones o profesiones.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,tristiza,seriedad,distanciamedia,00:07:33,00:12:08
coll022,022.jpg,carta,Servidumbre,Aura o las violetas,"mujer recibe y lee carta de su amado con mucha tristeza, hay un plano sobre la cara de la actriz. La sirvienta es la que trae y se lleva la carta aunque no le vemos la cara.",Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso se plasma en la interacción de personajes principales y secundarios. Los secundarios suelen ser sirvientes o empleados de los principales, cumplen funciones de ayudar, traer cosas, cumplir ordenes, servir comida o bebida. Esto es una muestra de que los personajes principales tienen un status mayor y pueden tener subordinados. Estos no suelen ser relevantes para la trama, aunque si llegan a tener un mayor protagonismo están atados a las decisiones o deseos de los personajes principales.",Pedro Moreno Garzon y Vicenzo di Domenico,1924,tristeza,tristeza,distanciamedia,00:12:09,00:14:43
coll023,023.jpg,respuesta,none,Aura o las violetas,"llega la respuesta de la carta al hombre, la lee y entra a su casa con resignación.",none,Proimágenes,Image;StillImage,image/jpeg,es,none,Pedro Moreno Garzon y Vicenzo di Domenico,1924,resignacion,resignacion,none,00:14:44,00:16:08
coll024,024.jpg,festejo,Elegancia,La tragedia del silencio,hombres y mujeres de clase alta festejan con copas. Atuendos elegantes. Se dan la mano y saludan. Hay una mayorìa de hombres.,Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,felicidad,felicidad,cercanos,0:00:35,0:02:01
coll025,025.jpg,salto_tequendama,Elegancia,La tragedia del silencio,parejas elegantes van al salto del tenquendama,Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc. Suele estar asociado al discurso de modernidad",Arturo Acevedo Villarino,1924,felicidad,aventureros,cercanos,0:02:02,00:02:38
coll026,026.jpg,negocios,Religiosidad,La tragedia del silencio,"hombre y mujer estàn en el plano màs cercano, la muje teje y el hombre es atentdido por la mucama que se queda atràs de ellos. Entra un cura y habla con ellos, se dan la mano y lo invitan a sentar, conversan. La mujer abraza al hombre, otro sujeto que parecìa estar trabajando se presenta con el cura.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"La religión católica es un valor clave para los personajes. Estos pueden estar rezando, visitando o participando de actividades católicas como una misa o proseción. También se presenta durante escenas en las que existe una presencia explícita de un representante de la iglesia católica.",Arturo Acevedo Villarino,1924,cordiales,amabilidad,distanciamedia,00:02:39,00:03:57
coll027,027.jpg,paseo_carros,Elegancia,La tragedia del silencio,"hombre saluda a mujer y niño que pasean en carruaje impulsado por caballos, atuerden elegantes.",Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,cordiales,amabilidad,distanciamedia,00:03:58,00:04:29
coll028,028.jpg,dibujo,Elegancia,La tragedia del silencio,"3 mujeres y un hombre comparten en una sala elegante, todos tienen ropa elegante y conversan. Un hombre toca el hombro de una mujer y esta lo observa con desprecio. El hombre toma nota",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,intimidad,desprecion,cercanos,00:04:30,00:05:45
coll029,029.jpg,amigas_reunidas,Elegancia,La tragedia del silencio,"3 hombres (dentro de ellos el cura) entran a una  habitaciòn que tieneun cuadro y un telescopio, saludan por la ventana a una mujer y a un niño, se juntan todos en un jardìn con flores blancas grandes. Los hombres se posicionan a la izquierda, las mujeres a la derecha, se presentan y caminan juntos por el jardìn para ver a una mujer que juega en un columpio",Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,colectividad,amabilidad,cercanos,00:05:46,00:07:55
coll030,030.jpg,planos,Elegancia,La tragedia del silencio,2 hombres y una mujer hablan sobre unos planos,Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,disciplinados,compromiso,cercanos,00:07:56,0:08:05
coll031,031.jpg,huerfanos,miseria,La tragedia del silencio,"imagenes del orfanado, presentan a muchos huerfanos que estàn de pie y sentados en el piso. Sus ropas son opacas y holgadas.",Pobre/pobre,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso se suele mostrar en los diálogos de los personajes o en la situación en la que está inmersa especialmente un personaje secundario. Las condiciones materiales de los personajes pueden ser de pobreza, condición de calle, ausencia de ropas, zapatos, comida, etc. También puede ser aplicado este discurso por las descripciones despectivas que hace un personaje de otro refiriendo a un aspecto de su condición material. Estos suelen adjetivos o sustantivos como: infeliz o desgraciado.",Arturo Acevedo Villarino,1924,pobreza,none,cercanos,00:08:06,00:08:31
coll032,032.jpg,puente,Modernidad,La tragedia del silencio,"hombres y mujeres elegantes caminan sobre un puente con el cura, se saludan y festejan.",Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado sobre representaciones que aluden mayoritariamente a la experiencia urbana de los personajes. Es decir, se concentra en cómo los personajes se desarrollan con simbolos o elementos que demuestran un desarrollo económico, social y político de caracter moderno. Estos pueden presentarse en modales, objetos como los autos, la ropa, instituciones o profesiones.",Arturo Acevedo Villarino,1924,felicidad,felicidad,cercanos,00:08:32,00:09:12
coll033,033.jpg,recuerdos,Sobrenatural,La tragedia del silencio,"hombre lee carta en habitciòn con telescopio, entra una mujer con un vertido blanco y flores y un niño, quienes son los recuerdos del hombre.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,Este discurso alude a la existencia de fuerzas sobrenaturales como fantasmas.,Arturo Acevedo Villarino,1924,tristeza,tristeza,distanciamedia,00:09:13,00:11:17
coll034,034.jpg,ayuda_divina,Religiosidad,La tragedia del silencio,"mujer va a iglesia a pedir ayuda, se presenta en primer plano una imagen de cristo. La mujer camina junto a un cura en la ilgesia. Ropas elegantes de la mujer, velo y ropa oscura.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"La religión católica es un valor clave para los personajes. Estos pueden estar rezando, visitando o participando de actividades católicas como una misa o proseción. También se presenta durante escenas en las que existe una presencia explícita de un representante de la iglesia católica.",Arturo Acevedo Villarino,1924,esperanza,esperanza,cercanos,00:11:18,00:12:10
coll035,035.jpg,invitacion,Religiosidad,La tragedia del silencio,"mujer entra con un atuendo oscuro al cuarto donde se encuentra con un hombre y otro les hace llegar una invitaciòn, la mujer reacciona con un gesto de cercania al mensajero y se ve pensativa, mientras que el mensajero se rìe, la mujer se ve triste y frustrada. Entra el cura en la habitaciòn y consuela a la mujer.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"La religión católica es un valor clave para los personajes. Estos pueden estar rezando, visitando o participando de actividades católicas como una misa o proseción. También se presenta durante escenas en las que existe una presencia explícita de un representante de la iglesia católica.",Arturo Acevedo Villarino,1924,incertidumbre,dolor,distanciamedia,00:12:11,00:14:38
coll036,036.jpg,preparacion,Subordinación,La tragedia del silencio,"hombre y mujer se preparan para salir con trajes elegantes, abrigos y plumas. La mujer parece estar alterada y triste e intenta acercarse al hombre pero la rechaza y tambièn muestra señales de desaprobaciòn.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Se hace explícita una situación en la que un sujeto con status político, económico o social realiza una acción que evidencia la subordinación. Por tanto, el sujeto subordinado se ve afectado negativamente. Esto demuestra la dominancia de un sujeto sobre otro a través de acciones, gestos o adjetivos que usa algún personaje.",Arturo Acevedo Villarino,1924,elegancia,dolor,distanciamedia,00:14:39,00:16:33
coll037,037.jpg,arreglo,Solidaridad/apoyo,La tragedia del silencio,mujeres se arregla entre ellas con trajes elegantes frente a un espejo. La mujer triste le dice algo a su compañera,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"El apoyo o la solidaridad puede presentarse entre hombres o entre mujeres mayoritariamente. Suele representarse a través de consejos, compañía para realizar acciones o complicidades. En este discurso no suele haber una relación de poder que interceda, es decir, los personajes son pares.",Arturo Acevedo Villarino,1924,apoyo,solidaridad,cercanos,00:16:34,00:17:25
coll038,038.jpg,fiesta,Elegancia,La tragedia del silencio,"hombres y mujeres comparten una fiesta. Un hombre toma una copa de la bandeja de un mesero, inmediatame se va el mesero. Las parejas bailan, los hombres se juntan a charlar y beber.",Rico/rico,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso suele usarse como un valor clave de las clases altas. Estos personajes tienen ropas elegantes, gestos de cuidado y refinamiento con la comida, bebida, saludos, baile, etc. Sus actividades también son claves para este discurso: montar en auto, pasear por jardines, leer el diario, montar a caballo para dar un paseo, etc.",Arturo Acevedo Villarino,1924,festejo,felicidad,cercanos,00:17:26,00:19:11
coll039,039.jpg,celos,Subordinación,La tragedia del silencio,"Una pareja està sentada cerca y el hombre les reclama por ello, se va a otra habitaciòn y la mujer intenta entrar desesperadamente.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Se hace explícita una situación en la que un sujeto con status político, económico o social realiza una acción que evidencia la subordinación. Por tanto, el sujeto subordinado se ve afectado negativamente. Esto demuestra la dominancia de un sujeto sobre otro a través de acciones, gestos o adjetivos que usa algún personaje.",Arturo Acevedo Villarino,1924,celos,celos,lejanos,00:19:12,00:20:01
coll040,040.jpg,despedida,none,La tragedia del silencio,"hombre toma un arma y escribe su carta de suicidio, un niño entra e impide el disparo.",none,Proimágenes,Image;StillImage,image/jpeg,es,none,Arturo Acevedo Villarino,1924,desesperacion,dolor,none,00:20:02,00:21:13
coll041,041.jpg,laboratorio,Modernidad,La tragedia del silencio,hombres con bata en laboratorio encuentran que el hombre de la pelìcula no tiene la enfermedad esperada y llaman por telèfono al hombre.,Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado sobre representaciones que aluden mayoritariamente a la experiencia urbana de los personajes. Es decir, se concentra en cómo los personajes se desarrollan con simbolos o elementos que demuestran un desarrollo económico, social y político de caracter moderno. Estos pueden presentarse en modales, objetos como los autos, la ropa, instituciones o profesiones.",Arturo Acevedo Villarino,1924,ingenioso,alerta,cercanos,00:21:14,00:22:27
coll042,042.jpg,llamada,Amor,La tragedia del silencio,El hombre contesta el telèfono con mucha felidad y va donde su amada a abrazarla y besarla. Las personas que estàn en la sala tienen la cabeza baja.,Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado para demostrar gestos de amor entre parejas mayoritariamente, pero también puede evidenciarse entre familias. Aunque existen relaciones de poder, se muestra como una relación de pares en la que predomina el amor. Los gestos pueden ser materiales como regalos o inmateriales como besos o caricias.",Arturo Acevedo Villarino,1924,felicidad,felicidad,cercanos,00:22:28,00:23:51
coll043,043.jpg,viaje,Modernidad,La tragedia del silencio,mujer mira desde un jardìn alto y el hombre viaja en tren.,none,Proimágenes,Image;StillImage,image/jpeg,es,"Este discurso es usado sobre representaciones que aluden mayoritariamente a la experiencia urbana de los personajes. Es decir, se concentra en cómo los personajes se desarrollan con simbolos o elementos que demuestran un desarrollo económico, social y político de caracter moderno. Estos pueden presentarse en modales, objetos como los autos, la ropa, instituciones o profesiones.",Arturo Acevedo Villarino,1924,tanquilidad,tranquilidad,none,00:23:52,00:24:26
coll044,044.jpg,encuentro,Conquista,"El amor, el deber  y el crimen","hombre de alista para salir luego de quitarse su traje de dibujante. Hombre y mujer caminan por calles separadas y se encuentan en una plaza, ambos parecen gratamente sorprendidos. Siguen su camino pero el hombre la mira hasta que se va, decide alcanzarla de nuevo y camina junto a ella. La saluda de mano. Muchas personas caminan por este sendero, sobre todo hombres con sombrero. La pareja camina por una calle desde lo lejos en donde pasa un niño descalzo, al fondo hay otro niño. Los transbuntes miran a la pareja. La mujer llega a su destina y se despiden con una sonrisa.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un hombre se acerca a una mujer con intenciones de mantener un romance con ella. La conquista suele ser propiciada por el hombre, a su vez, estos tienen modos de conquista como la poesía, decir palabras lindas, presumir de sus logros o su dinero. La mujer receptora de estas acciones acepta o rechaza a su candidato. Esta decisión suele ser tomada por las mujeres, por lo que es común que varios hombres se acerquen a la misma mujer.",Pedro Moreno Garzon y Vicenzo di Domenico,1926,enamoramiento,enamoramiento,distanciamedia,00:00:31,00:03:19
coll045,045.jpg,trabajo,Conquista,"El amor, el deber  y el crimen","la mujer trabaja, el hombre pasa por la ventana del trabajo y la intenta ver varias veces. Decide entrar al local, habla con un vendedor y procede a hablarle a la mujer. Ella se ve feliz, se rie y suspira. Ella es la cajera, el hombre paga una compra. La sigue observando desde el ventanal mientras ella suspira. Otro hombre le habla y parece que conversan sobre el hombre del ventanal mientras èl sigue pasando. Decide volver a entrar y de nuevo va a hablar con ella un momento.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un hombre se acerca a una mujer con intenciones de mantener un romance con ella. La conquista suele ser propiciada por el hombre, a su vez, estos tienen modos de conquista como la poesía, decir palabras lindas, presumir de sus logros o su dinero. La mujer receptora de estas acciones acepta o rechaza a su candidato. Esta decisión suele ser tomada por las mujeres, por lo que es común que varios hombres se acerquen a la misma mujer.",Pedro Moreno Garzon y Vicenzo di Domenico,1926,enamoramiento,enamoramiento,distanciamedia,00:03:20,00:06:49
coll046,046.jpg,caminata,none,"El amor, el deber  y el crimen",caminan juntos por la calle y ella llega a su hogar.,Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,none,Pedro Moreno Garzon y Vicenzo di Domenico,1926,enamoramiento,cordialidad,cercanos,00:06:50,00:07:19
coll047,047.jpg,padres,Familia,"El amor, el deber  y el crimen","mujer y hombre se sientan juntos y coquetean. Ingresan otras dos personas al salòn, parecen ser los padres de la mujer porque son evidentemente màs viejos, se presentan con el hombre.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"La familia es un concepto relevante porque plasma un tipo de familia específica. Suele ser padre, madre e hijos. La familia suele estar atravesada por tragedias o problemas, pero se mantienen unidos y se ayudan entre sí. La familia suele estar cerca entre ellos y está enlazada con el cuidado y el amor.",Pedro Moreno Garzon y Vicenzo di Domenico,1926,amor,cordialidad,cercanos,00:07:20,00:08:14
coll048,048.jpg,baile,Conquista,"El amor, el deber  y el crimen","hombre està sentado en una fiesta cno una mujer mientras todos bailan. Otra mujer le pide que bailen. La mujer protagonista aparece en la fiesta y saluda a otro hombre, baila con èl.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un hombre se acerca a una mujer con intenciones de mantener un romance con ella. La conquista suele ser propiciada por el hombre, a su vez, estos tienen modos de conquista como la poesía, decir palabras lindas, presumir de sus logros o su dinero. La mujer receptora de estas acciones acepta o rechaza a su candidato. Esta decisión suele ser tomada por las mujeres, por lo que es común que varios hombres se acerquen a la misma mujer.",Pedro Moreno Garzon y Vicenzo di Domenico,1926,socializacion,pensativos,cercanos,00:08:15,00:09:44
